355;20004;400;
356;407;22556;
357;22556;10873;
358;10873;22557;
359;22557;19547;
360;19547;10876;
361;10876;10879;
362;10879;10882;
363;10882;22560;
364;22560;10884;
365;10884;28064;
366;28064;10885;
367;10885;28063;
368;28063;22561;
369;22561;10883;
370;10883;28062;
371;28062;10881;
372;10881;22562;
373;22562;10880;
374;10880;19553;
375;19553;10878;
376;10878;22563;
377;22563;28061;
378;28061;10877;
379;10877;10875;
380;10875;10874;
381;10874;28060;
382;28060;28059;
383;28059;10872;
384;10872;22564;
385;22564;22565;
386;22565;10871;
387;10871;4190;
388;404;19978;
389;19978;11505;
390;11505;19979;
391;19979;405;
392;8009;484;
393;484;483;
394;19843;19841;
395;19841;522;
396;522;523;
397;14245;10895;
398;10895;10901;
399;10901;21374;
400;21374;10905;
401;10905;10912;
402;10912;21375;
403;21375;21376;
404;21376;21377;
405;21377;524;
406;524;21378;
407;21378;525;
408;525;21379;
409;21379;526;
410;526;443;
411;4361;4357;
412;4357;9682;
413;9682;534;
414;534;9700;
415;9700;533;
416;533;9712;
417;9712;4375;
418;4375;4366;
419;4416;19748;
420;19748;9636;
421;9636;4383;
422;4383;4373;
423;4373;9615;
424;9615;4397;
425;4397;4398;
426;4398;4387;
427;4387;542;
428;542;543;
429;543;545;
430;545;546;
431;546;547;
432;547;548;
433;548;549;
434;549;550;
435;550;551;
436;551;552;
437;552;553;
438;553;554;
439;554;555;
440;555;556;
441;556;23206;
442;23206;557;
443;557;558;
444;558;23207;
445;23207;559;
446;559;560;
447;560;23210;
448;23210;561;
449;561;23211;
450;23211;562;
451;562;23212;
452;23212;563;
453;563;23213;
454;23213;564;
455;564;26259;
456;26259;23214;
457;23214;565;
458;565;23215;
459;23215;566;
460;559;567;
461;567;568;
462;568;569;
463;569;570;
464;570;23155;
465;23155;84;
466;68;23196;
467;23196;23197;
468;23197;571;
469;571;23198;
470;23198;572;
471;572;23199;
472;23199;573;
473;573;574;
474;574;23200;
475;23200;575;
476;575;576;
477;576;23201;
478;23201;577;
479;577;23202;
480;23202;578;
481;578;23203;
482;23203;23204;
483;23204;23205;
484;23205;579;
485;579;555;
486;545;580;
487;580;24901;
488;24901;581;
489;581;24902;
490;24902;582;
491;582;583;
492;583;24904;
493;24904;584;
494;584;24905;
495;24905;585;
496;585;24903;
497;24903;586;
498;586;16068;
499;16068;67;
500;23186;8051;
501;8051;593;
502;593;592;
503;596;597;
504;597;23182;
505;23182;598;
506;598;599;
507;599;600;
508;600;601;
509;596;23181;
510;23181;603;
511;603;23180;
512;23180;604;
513;604;23179;
514;23179;605;
515;605;23178;
516;23178;606;
517;606;23177;
518;23177;607;
519;607;23176;
520;23176;608;
521;608;23175;
522;23175;609;
523;609;23174;
524;23174;610;
525;610;23173;
526;23173;611;
527;611;552;
528;627;654;
529;654;655;
530;655;23138;
531;23138;656;
532;656;23139;
533;23139;657;
534;657;23140;
535;23140;658;
536;658;23141;
537;23141;659;
538;659;23142;
539;23142;660;
540;660;23143;
541;23143;661;
542;661;23144;
543;23144;662;
544;662;23145;
545;23145;663;
546;663;23146;
547;23146;664;
548;664;23147;
549;23147;665;
550;665;23148;
551;23148;23149;
552;23149;79;
553;623;668;
554;668;25045;
555;25045;667;
556;667;25044;
557;25044;666;
558;666;25043;
559;25043;669;
560;669;25042;
561;25042;670;
562;670;23150;
563;23150;19580;
564;19580;671;
565;671;76;
566;672;690;
567;690;689;
568;689;21341;
569;21341;688;
570;688;21342;
571;21342;687;
572;687;21343;
573;21343;686;
574;686;13648;
575;13648;28255;
576;28255;28256;
577;28256;4377;
578;4377;4400;
579;4400;28257;
580;28257;21344;
581;21344;4391;
582;4391;4410;
583;4410;21345;
584;21345;28259;
585;28259;28258;
586;28258;4404;
587;4404;21346;
588;21346;4368;
589;4368;9432;
590;9432;9433;
591;9433;4413;
592;4413;9437;
593;9437;9435;
594;9435;4381;
595;4381;21347;
596;21347;9438;
597;9438;28260;
598;28260;4371;
599;4371;28261;
600;28261;9446;
601;9446;4395;
602;4395;4384;
603;4384;28262;
604;28262;9499;
605;9499;21348;
606;21348;4406;
607;4406;9510;
608;9176;26171;
609;26171;9174;
610;9174;9175;
611;9175;25752;
612;25752;9177;
613;9177;9180;
614;9180;20137;
615;679;1316;
616;1316;26065;
617;26065;9183;
618;9183;1318;
619;1318;26066;
620;26066;25080;
621;25080;26067;
622;26067;1321;
623;12139;3281;
624;3281;12110;
625;12110;12106;
626;12106;486;
627;727;4204;
628;4204;13071;
629;13071;13073;
630;13073;11429;
631;11429;728;
632;728;1956;
633;732;730;
634;735;23951;
635;23951;23950;
636;23950;23949;
637;23949;15338;
638;15338;736;
639;736;26775;
640;26775;26776;
641;26776;1623;
642;1623;26778;
643;26778;737;
644;737;738;
645;738;23501;
646;23501;739;
647;739;27243;
648;27243;918;
649;8459;27818;
650;27818;21080;
651;21080;24408;
652;346;15872;
653;15872;347;
654;347;15869;
655;15869;3351;
656;3351;15860;
657;15860;15859;
658;15859;3352;
659;3352;11266;
660;11266;348;
661;369;370;
662;370;371;
663;371;372;
664;372;15953;
665;15953;1464;
666;1464;21795;
667;21795;12773;
668;12773;15775;
669;15775;12155;
670;12155;15777;
671;15777;12158;
672;373;21781;
673;21781;15966;
674;15966;3280;
675;3280;12139;
676;1340;1341;
677;1341;703;
678;703;13753;
679;13753;26076;
680;26076;702;
681;702;701;
682;701;700;
683;439;440;
684;440;441;
685;441;442;
686;442;10921;
687;10921;27590;
688;448;11036;
689;11036;449;
690;449;450;
691;450;451;
692;451;11086;
693;11086;452;
694;747;748;
695;748;749;
696;17041;16885;
697;16885;16822;
698;16822;16904;
699;16904;17040;
700;17040;17138;
701;17138;17146;
702;17146;16966;
703;264;760;
704;760;16677;
705;16677;3768;
706;3768;265;
707;265;1967;
708;20295;23439;
709;23439;20297;
710;20297;764;
711;764;23438;
712;23438;763;
713;763;23437;
714;23437;23436;
715;23436;762;
716;762;23435;
717;23435;23434;
718;23434;16520;
719;766;220;
720;220;4156;
721;218;20301;
722;20301;766;
723;219;217;
724;217;23653;
725;23653;778;
726;778;215;
727;215;23421;
728;23421;23420;
729;765;20302;
730;20302;219;
731;769;768;
732;768;16525;
733;16525;23430;
734;23430;16526;
735;16526;22192;
736;22192;23431;
737;23431;16527;
738;16527;23432;
739;23432;761;
740;770;22162;
741;22162;769;
742;769;777;
743;777;776;
744;776;23426;
745;23426;775;
746;775;23427;
747;23427;23425;
748;23425;774;
749;774;23429;
750;23429;773;
751;773;23428;
752;23428;772;
753;772;23424;
754;23424;793;
755;793;23423;
756;23423;792;
757;792;23416;
758;23416;23420;
759;779;22184;
760;22184;780;
761;780;22185;
762;22185;781;
763;781;10706;
764;10706;22187;
765;22187;782;
766;782;22188;
767;22188;770;
768;770;22189;
769;22189;783;
770;783;784;
771;784;22190;
772;22190;785;
773;785;22191;
774;22191;10705;
775;10705;786;
776;786;22186;
777;22186;787;
778;787;22183;
779;22183;779;
780;760;22412;
781;22412;789;
782;789;788;
783;788;780;
784;787;790;
785;790;22413;
786;22413;791;
787;791;760;
788;8266;19467;
789;19467;804;
790;804;803;
791;803;20344;
792;8283;805;
793;805;806;
794;806;807;
795;807;808;
796;808;809;
797;809;19443;
798;19443;19442;
799;19442;810;
800;810;811;
801;811;19438;
802;19438;19441;
803;19441;19439;
804;19439;19440;
805;19440;812;
806;4157;820;
807;820;821;
808;823;24843;
809;24843;24844;
810;24844;824;
811;824;19409;
812;19409;19410;
813;19410;19411;
814;19411;825;
815;825;19408;
816;19408;826;
817;826;19405;
818;19405;19406;
819;19406;827;
820;827;19407;
821;19407;817;
822;812;830;
823;830;831;
824;831;832;
825;832;24834;
826;24834;24835;
827;24835;24839;
828;24839;24840;
829;24840;24845;
830;24845;822;
831;821;19427;
832;19427;19426;
833;19426;845;
834;845;846;
835;846;829;
836;829;828;
837;828;24836;
838;24836;24839;
839;822;24846;
840;24846;24841;
841;24841;823;
